text,emotion
아무 준비도 하지 못한 채 떠나려는 너의 눈앞에 서서 그 어떤 말조차 하지 못해 그저 손만 흔들어 잘 가 손 흔들어 반짝이는 너를 향해 안녕 내 사랑 내 소중한 사람 아 햇살처럼 뜨겁게 만 날 안아 준 그 대여 두 눈 가득히 널 보며 안녕 조금 더 널 보며 안녕 부디 행복하길 언제나 그 댄 늘 빛이 나는 사람이 기를 미소로 안녕 조금 더 힘을 내 이제는 안녕 잘 가 우리 이제 안녕 내 사랑 내 소중한 사람 아 햇살처럼 뜨겁게 만 날 안아 준 그 대여 두 눈 가득히 널 보며 안녕 환하게 웃으며 Oh 안녕 잘 가 소중한 사람 아 아름답게 반짝이며 날 비춰 준 그 대여 안녕 내 사랑 널 보며 안녕 조금 더 널 보며 안녕,2
처음 그 떨림도 이젠 Goodbye 더 아쉬워도 Goodbye 나의 Memory 언니 방 서랍 속에 졸업 앨범을 보다 가 3 학년 1 반 반장이었던 그 선배를 오랜만에 보네요,2
점심시간이 되면 창가에 자릴 잡고 서 농구스타처럼 멋있었던 그 댈 보는 게 그렇게 좋았죠,2
처음 그 떨림도 이젠 Goodbye 더 아쉬워도 Goodbye 나의 Memory1 학년이 던 내 겐 선 밴 하늘 같아서 말 한마디 건네기 너무도 어려웠죠,2
두 살 차이 뿐인데 노트 한 권 가득히 채운 선배 이름 세 글자 전할 용기 하나 없었지만 이름만 봐도 설레던 나였죠,2
결혼은 했을까,2
스르륵 빠져들잖아요,2
혹시 내 이름 기억할까 그 동네에 여전히 살고 있을까,2
이 좋은 기억으로 남길래,2
처음 그 떨림도 이젠 Goodbye Goodbye It's time for goodbye 나의 로맨스 여 Goodbye 바로 어제처럼 느껴지는 그때 그 시간들 이제는 Goodbye 나의 로맨스 여 Goodbye 기다림조차 도 아름답던,2
처음 그 떨림도 이젠 Goodbye Goodbye Goodbye 나의 Memory,2
눈을 뜨면 다 어제로 흘러 버린 일 과거를 묻어 버린 뒤에도 여전히 이 자리에서 지켜 나의 계속되는 삶 난 그걸 곡에 담고 그걸 당신들은 사부족한 걸 알아 인정할 게 내 과오 어느덧 시간은 쌓여 나이는 26 난 이 탑에 내 모든 경험과 언어를 칠해 좁아터진 의식을 열어 줄 마디 수는 18 여전히 부족해 내 자신을 끊임없이 탐구 더 파고드는 반면 올라가고 있는 열이건 일종의 countdown 불 지피고서 더 넓은 우주로 쏘아 올릴 거야 나의 시 구절 떨어지는 빗물처럼 널 적시고서 하나씩 알려 줄게,2
